Site_number,time,Ensemble,Accoustic_Frequency_kHz,Transducer_radius_m,Beam_angle_degrees,Beam_aspect_ratio,Number_of_Cells,Bin_Size_m,Blanking_distance_m,Instrument_serial_number,CPU_serial_number,Ambient_Noise_Level_Beam_1_Counts,Ambient_Noise_Level_Beam_2_Counts,Distance_to_Bin_1_mid_point_m,Speed_of_sound_m_per_s,Temperature_degC,Pressure_dbar,Distance_to_surface_m,Power_supply_voltage
120001A,16-Feb-2000 00:00:00,1,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 01:00:00,10,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 02:00:00,19,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 03:00:00,28,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 04:00:00,37,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 05:00:00,46,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 06:00:00,55,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 07:00:00,64,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 08:00:00,73,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 09:00:00,82,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 10:00:00,91,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 11:00:00,100,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 12:00:00,109,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 13:00:00,118,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 14:00:00,127,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 15:00:00,136,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 16:00:00,145,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 17:00:00,154,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 18:00:00,163,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 19:00:00,172,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 20:00:00,181,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 21:00:00,190,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 22:00:00,199,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,16-Feb-2000 23:00:00,208,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 00:00:00,217,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 01:00:00,226,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 02:00:00,235,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 03:00:00,244,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 04:00:00,253,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 05:00:00,262,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 06:00:00,271,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 07:00:00,280,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 08:00:00,289,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 09:00:00,298,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 10:00:00,307,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 11:00:00,316,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 12:00:00,325,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
120001A,17-Feb-2000 13:00:00,334,1200,0.026084237,20,24,128,0.2,0.2,an_alpha_numeric_string,an_alpha_numeric_string,40,40,0.3,1465.90979,15,0,0,12
