Site_number,time,Echo_Intensity_Counts_cell_1,Echo_Intensity_Counts_cell_2,Echo_Intensity_Counts_cell_3,Echo_Intensity_Counts_cell_4,Echo_Intensity_Counts_cell_5,Echo_Intensity_Counts_cell_6,Echo_Intensity_Counts_cell_7,Echo_Intensity_Counts_cell_8,Echo_Intensity_Counts_cell_9,Echo_Intensity_Counts_cell_10,Echo_Intensity_Counts_cell_11,Echo_Intensity_Counts_cell_12,Echo_Intensity_Counts_cell_13,Echo_Intensity_Counts_cell_14,Echo_Intensity_Counts_cell_15,Echo_Intensity_Counts_cell_16,Echo_Intensity_Counts_cell_17,Echo_Intensity_Counts_cell_18,Echo_Intensity_Counts_cell_19,Echo_Intensity_Counts_cell_20,Echo_Intensity_Counts_cell_21,Echo_Intensity_Counts_cell_22,Echo_Intensity_Counts_cell_23,Echo_Intensity_Counts_cell_24,Echo_Intensity_Counts_cell_25,Echo_Intensity_Counts_cell_26,Echo_Intensity_Counts_cell_27,Echo_Intensity_Counts_cell_28,Echo_Intensity_Counts_cell_29,Echo_Intensity_Counts_cell_30,Echo_Intensity_Counts_cell_31,Echo_Intensity_Counts_cell_32,Echo_Intensity_Counts_cell_33,Echo_Intensity_Counts_cell_34,Echo_Intensity_Counts_cell_35,Echo_Intensity_Counts_cell_36,Echo_Intensity_Counts_cell_37,Echo_Intensity_Counts_cell_38,Echo_Intensity_Counts_cell_39,Echo_Intensity_Counts_cell_40,Echo_Intensity_Counts_cell_41,Echo_Intensity_Counts_cell_42,Echo_Intensity_Counts_cell_43,Echo_Intensity_Counts_cell_44,Echo_Intensity_Counts_cell_45,Echo_Intensity_Counts_cell_46,Echo_Intensity_Counts_cell_47,Echo_Intensity_Counts_cell_48,Echo_Intensity_Counts_cell_49,Echo_Intensity_Counts_cell_50,Echo_Intensity_Counts_cell_51,Echo_Intensity_Counts_cell_52,Echo_Intensity_Counts_cell_53,Echo_Intensity_Counts_cell_54,Echo_Intensity_Counts_cell_55,Echo_Intensity_Counts_cell_56,Echo_Intensity_Counts_cell_57,Echo_Intensity_Counts_cell_58,Echo_Intensity_Counts_cell_59,Echo_Intensity_Counts_cell_60,Echo_Intensity_Counts_cell_61,Echo_Intensity_Counts_cell_62,Echo_Intensity_Counts_cell_63,Echo_Intensity_Counts_cell_64,Echo_Intensity_Counts_cell_65,Echo_Intensity_Counts_cell_66,Echo_Intensity_Counts_cell_67,Echo_Intensity_Counts_cell_68,Echo_Intensity_Counts_cell_69,Echo_Intensity_Counts_cell_70,Echo_Intensity_Counts_cell_71,Echo_Intensity_Counts_cell_72,Echo_Intensity_Counts_cell_73,Echo_Intensity_Counts_cell_74,Echo_Intensity_Counts_cell_75,Echo_Intensity_Counts_cell_76,Echo_Intensity_Counts_cell_77,Echo_Intensity_Counts_cell_78,Echo_Intensity_Counts_cell_79,Echo_Intensity_Counts_cell_80,Echo_Intensity_Counts_cell_81,Echo_Intensity_Counts_cell_82,Echo_Intensity_Counts_cell_83,Echo_Intensity_Counts_cell_84,Echo_Intensity_Counts_cell_85,Echo_Intensity_Counts_cell_86,Echo_Intensity_Counts_cell_87,Echo_Intensity_Counts_cell_88,Echo_Intensity_Counts_cell_89,Echo_Intensity_Counts_cell_90,Echo_Intensity_Counts_cell_91,Echo_Intensity_Counts_cell_92,Echo_Intensity_Counts_cell_93,Echo_Intensity_Counts_cell_94,Echo_Intensity_Counts_cell_95,Echo_Intensity_Counts_cell_96,Echo_Intensity_Counts_cell_97,Echo_Intensity_Counts_cell_98,Echo_Intensity_Counts_cell_99,Echo_Intensity_Counts_cell_100,Echo_Intensity_Counts_cell_101,Echo_Intensity_Counts_cell_102,Echo_Intensity_Counts_cell_103,Echo_Intensity_Counts_cell_104,Echo_Intensity_Counts_cell_105,Echo_Intensity_Counts_cell_106,Echo_Intensity_Counts_cell_107,Echo_Intensity_Counts_cell_108,Echo_Intensity_Counts_cell_109,Echo_Intensity_Counts_cell_110,Echo_Intensity_Counts_cell_111,Echo_Intensity_Counts_cell_112,Echo_Intensity_Counts_cell_113,Echo_Intensity_Counts_cell_114,Echo_Intensity_Counts_cell_115,Echo_Intensity_Counts_cell_116,Echo_Intensity_Counts_cell_117,Echo_Intensity_Counts_cell_118,Echo_Intensity_Counts_cell_119,Echo_Intensity_Counts_cell_120,Echo_Intensity_Counts_cell_121,Echo_Intensity_Counts_cell_122,Echo_Intensity_Counts_cell_123,Echo_Intensity_Counts_cell_124,Echo_Intensity_Counts_cell_125,Echo_Intensity_Counts_cell_126,Echo_Intensity_Counts_cell_127,Echo_Intensity_Counts_cell_128
120001A,16-Feb-2000 00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 01:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 02:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 03:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 04:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 05:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 06:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 07:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 08:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120001A,16-Feb-2000 09:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
