time,Discharge_m_cubed_per_s,Site_number
16-Feb-2000 00:00:00,297.8106,120001A
16-Feb-2000 01:00:00,298.5199,120001A
16-Feb-2000 02:00:00,299.2291,120001A
16-Feb-2000 03:00:00,299.9384,120001A
16-Feb-2000 04:00:00,300.6476,120001A
16-Feb-2000 05:00:00,301.3569,120001A
16-Feb-2000 06:00:00,303.4154,120001A
16-Feb-2000 07:00:00,306.8232,120001A
16-Feb-2000 08:00:00,309.1516,120001A
16-Feb-2000 09:00:00,307.972,120001A
16-Feb-2000 10:00:00,306.5226,120001A
16-Feb-2000 11:00:00,305.0732,120001A
16-Feb-2000 12:00:00,301.2922,120001A
16-Feb-2000 13:00:00,295.0977,120001A
16-Feb-2000 14:00:00,289.2013,120001A
16-Feb-2000 15:00:00,287.9561,120001A
16-Feb-2000 16:00:00,287.4996,120001A
16-Feb-2000 17:00:00,287.0432,120001A
16-Feb-2000 18:00:00,288.3296,120001A
16-Feb-2000 19:00:00,291.3587,120001A
16-Feb-2000 20:00:00,294.548,120001A
16-Feb-2000 21:00:00,298.258,120001A
16-Feb-2000 22:00:00,301.394,120001A
16-Feb-2000 23:00:00,302.5345,120001A
17-Feb-2000 00:00:00,303.7835,120001A
17-Feb-2000 01:00:00,305.2944,120001A
17-Feb-2000 02:00:00,306.8054,120001A
17-Feb-2000 03:00:00,308.3164,120001A
17-Feb-2000 04:00:00,309.8465,120001A
17-Feb-2000 05:00:00,312.2601,120001A
17-Feb-2000 06:00:00,317.8132,120001A
17-Feb-2000 07:00:00,324.1246,120001A
17-Feb-2000 08:00:00,328.5348,120001A
17-Feb-2000 09:00:00,333.1017,120001A
17-Feb-2000 10:00:00,337.8842,120001A
17-Feb-2000 11:00:00,339.3436,120001A
17-Feb-2000 12:00:00,342.8746,120001A
17-Feb-2000 13:00:00,355.401,120001A
17-Feb-2000 14:00:00,387.5865,120001A
17-Feb-2000 15:00:00,418.8781,120001A
17-Feb-2000 16:00:00,434.7338,120001A
17-Feb-2000 17:00:00,438.9566,120001A
17-Feb-2000 18:00:00,441.9468,120001A
17-Feb-2000 19:00:00,444.4605,120001A
17-Feb-2000 20:00:00,446.9741,120001A
17-Feb-2000 21:00:00,449.4878,120001A
17-Feb-2000 22:00:00,452.0015,120001A
17-Feb-2000 23:00:00,454.8104,120001A
18-Feb-2000 00:00:00,478.7017,120001A
18-Feb-2000 01:00:00,531.8707,120001A
18-Feb-2000 02:00:00,610.2715,120001A
18-Feb-2000 03:00:00,704.2937,120001A
18-Feb-2000 04:00:00,787.1578,120001A
18-Feb-2000 05:00:00,850.8492,120001A
18-Feb-2000 06:00:00,908.9915,120001A
18-Feb-2000 07:00:00,964.2695,120001A
18-Feb-2000 08:00:00,1024.5033,120001A
18-Feb-2000 09:00:00,1128.7632,120001A
18-Feb-2000 10:00:00,1240.4049,120001A
18-Feb-2000 11:00:00,1321.8993,120001A
18-Feb-2000 12:00:00,1373.9753,120001A
18-Feb-2000 13:00:00,1409.7665,120001A
18-Feb-2000 14:00:00,1439.9912,120001A
18-Feb-2000 15:00:00,1457.4347,120001A
18-Feb-2000 16:00:00,1463.9605,120001A
18-Feb-2000 17:00:00,1454.558,120001A
18-Feb-2000 18:00:00,1431.9278,120001A
18-Feb-2000 19:00:00,1405.7507,120001A
18-Feb-2000 20:00:00,1366.952,120001A
18-Feb-2000 21:00:00,1336.1765,120001A
18-Feb-2000 22:00:00,1308.0778,120001A
18-Feb-2000 23:00:00,1290.9691,120001A
19-Feb-2000 00:00:00,1287.2288,120001A
19-Feb-2000 01:00:00,1288.0725,120001A
19-Feb-2000 02:00:00,1290.5643,120001A
19-Feb-2000 03:00:00,1298.4129,120001A
19-Feb-2000 04:00:00,1302.3066,120001A
19-Feb-2000 05:00:00,1298.1651,120001A
19-Feb-2000 06:00:00,1290.022,120001A
19-Feb-2000 07:00:00,1277.2234,120001A
19-Feb-2000 08:00:00,1279.0451,120001A
19-Feb-2000 09:00:00,1313.1962,120001A
19-Feb-2000 10:00:00,1331.5993,120001A
19-Feb-2000 11:00:00,1341.1732,120001A
19-Feb-2000 12:00:00,1353.7116,120001A
19-Feb-2000 13:00:00,1355.834,120001A
19-Feb-2000 14:00:00,1351.6449,120001A
19-Feb-2000 15:00:00,1347.4557,120001A
19-Feb-2000 16:00:00,1343.2666,120001A
19-Feb-2000 17:00:00,1343.1837,120001A
19-Feb-2000 18:00:00,1339.9251,120001A
19-Feb-2000 19:00:00,1333.7093,120001A
19-Feb-2000 20:00:00,1341.6844,120001A
19-Feb-2000 21:00:00,1356.9562,120001A
19-Feb-2000 22:00:00,1382.3775,120001A
19-Feb-2000 23:00:00,1434.173,120001A
20-Feb-2000 00:00:00,1491.4666,120001A
20-Feb-2000 01:00:00,1580.8055,120001A
20-Feb-2000 02:00:00,1708.6982,120001A
20-Feb-2000 03:00:00,1877.5753,120001A
20-Feb-2000 04:00:00,2075.0317,120001A
20-Feb-2000 05:00:00,2303.8201,120001A
20-Feb-2000 06:00:00,2552.6065,120001A
20-Feb-2000 07:00:00,2837.5038,120001A
20-Feb-2000 08:00:00,3152.0648,120001A
20-Feb-2000 09:00:00,3543.8393,120001A
20-Feb-2000 10:00:00,3911.6264,120001A
20-Feb-2000 11:00:00,4212.7251,120001A
20-Feb-2000 12:00:00,4449.5554,120001A
20-Feb-2000 13:00:00,4625.9152,120001A
20-Feb-2000 14:00:00,4700.9107,120001A
20-Feb-2000 15:00:00,4692.774,120001A
20-Feb-2000 16:00:00,4652.6456,120001A
20-Feb-2000 17:00:00,4549.9863,120001A
20-Feb-2000 18:00:00,4409.412,120001A
20-Feb-2000 19:00:00,4250.2663,120001A
20-Feb-2000 20:00:00,4091.5473,120001A
20-Feb-2000 21:00:00,3926.7488,120001A
20-Feb-2000 22:00:00,3790.3808,120001A
20-Feb-2000 23:00:00,3667.383,120001A
21-Feb-2000 00:00:00,3551.8287,120001A
21-Feb-2000 01:00:00,3433.4676,120001A
21-Feb-2000 02:00:00,3352.7906,120001A
21-Feb-2000 03:00:00,3279.0246,120001A
21-Feb-2000 04:00:00,3235.7017,120001A
21-Feb-2000 05:00:00,3202.3272,120001A
21-Feb-2000 06:00:00,3203.94,120001A
21-Feb-2000 07:00:00,3246.9318,120001A
21-Feb-2000 08:00:00,3343.7328,120001A
21-Feb-2000 09:00:00,3495.7002,120001A
21-Feb-2000 10:00:00,3741.3293,120001A
