time,Height_m,Site_number
16-Feb-2000 0:00:00,0.956183621,120001A
16-Feb-2000 1:00:00,0.957207841,120001A
16-Feb-2000 2:00:00,0.958569977,120001A
16-Feb-2000 3:00:00,0.959930912,120001A
16-Feb-2000 4:00:00,0.961290456,120001A
16-Feb-2000 5:00:00,0.962648807,120001A
16-Feb-2000 6:00:00,0.964966406,120001A
16-Feb-2000 7:00:00,0.970190697,120001A
16-Feb-2000 8:00:00,0.975626943,120001A
16-Feb-2000 9:00:00,0.976155256,120001A
16-Feb-2000 10:00:00,0.973531949,120001A
16-Feb-2000 11:00:00,0.970774702,120001A
16-Feb-2000 12:00:00,0.966505893,120001A
16-Feb-2000 13:00:00,0.956981152,120001A
16-Feb-2000 14:00:00,0.945283576,120001A
16-Feb-2000 15:00:00,0.93770499,120001A
16-Feb-2000 16:00:00,0.936434072,120001A
16-Feb-2000 17:00:00,0.935543566,120001A
16-Feb-2000 18:00:00,0.93721299,120001A
16-Feb-2000 19:00:00,0.940827419,120001A
16-Feb-2000 20:00:00,0.946855836,120001A
16-Feb-2000 21:00:00,0.953520316,120001A
16-Feb-2000 22:00:00,0.960082278,120001A
16-Feb-2000 23:00:00,0.964695795,120001A
17-Feb-2000 0:00:00,0.967029472,120001A
17-Feb-2000 1:00:00,0.969785285,120001A
17-Feb-2000 2:00:00,0.972660064,120001A
17-Feb-2000 3:00:00,0.975529201,120001A
17-Feb-2000 4:00:00,0.978419799,120001A
17-Feb-2000 5:00:00,0.981428112,120001A
17-Feb-2000 6:00:00,0.988955537,120001A
17-Feb-2000 7:00:00,1.000054531,120001A
17-Feb-2000 8:00:00,1.009992892,120001A
17-Feb-2000 9:00:00,1.018278465,120001A
17-Feb-2000 10:00:00,1.026858996,120001A
17-Feb-2000 11:00:00,1.03327184,120001A
17-Feb-2000 12:00:00,1.037113937,120001A
17-Feb-2000 13:00:00,1.051654423,120001A
17-Feb-2000 14:00:00,1.091886579,120001A
17-Feb-2000 15:00:00,1.146214582,120001A
17-Feb-2000 16:00:00,1.185517015,120001A
17-Feb-2000 17:00:00,1.202516369,120001A
17-Feb-2000 18:00:00,1.208515321,120001A
17-Feb-2000 19:00:00,1.213056458,120001A
17-Feb-2000 20:00:00,1.217168936,120001A
17-Feb-2000 21:00:00,1.221272089,120001A
17-Feb-2000 22:00:00,1.225366089,120001A
17-Feb-2000 23:00:00,1.229671635,120001A
