time,SSCxs_mg_per_liter,SSCpt_mg_per_liter,Site_number
16-Feb-2000 00:00:00,108.847790387781,NaN,120001A
16-Feb-2000 01:00:00,109.179395668711,NaN,120001A
16-Feb-2000 02:00:00,109.352297345804,NaN,120001A
16-Feb-2000 03:00:00,109.525127230946,NaN,120001A
16-Feb-2000 04:00:00,109.697747694577,NaN,120001A
16-Feb-2000 05:00:00,109.870297166882,NaN,120001A
16-Feb-2000 06:00:00,111.130551396909,NaN,120001A
16-Feb-2000 07:00:00,112.55644767394,NaN,120001A
16-Feb-2000 08:00:00,112.63594328407,NaN,120001A
16-Feb-2000 09:00:00,111.052382761652,NaN,120001A
16-Feb-2000 10:00:00,110.642027427345,NaN,120001A
16-Feb-2000 11:00:00,110.291108177194,NaN,120001A
16-Feb-2000 12:00:00,108.011278043926,NaN,120001A
16-Feb-2000 13:00:00,105.419046736797,NaN,120001A
16-Feb-2000 14:00:00,104.095862468405,NaN,120001A
16-Feb-2000 15:00:00,106.148125096599,NaN,120001A
16-Feb-2000 16:00:00,106.212226014625,NaN,120001A
16-Feb-2000 17:00:00,106.099388898574,NaN,120001A
16-Feb-2000 18:00:00,106.808406215301,NaN,120001A
16-Feb-2000 19:00:00,108.625285810817,NaN,120001A
16-Feb-2000 20:00:00,109.478509998087,NaN,120001A
16-Feb-2000 21:00:00,110.616943313236,NaN,120001A
16-Feb-2000 22:00:00,111.122013405692,NaN,120001A
16-Feb-2000 23:00:00,110.252619119716,NaN,120001A
17-Feb-2000 00:00:00,110.579821010776,NaN,120001A
17-Feb-2000 01:00:00,111.004147730236,NaN,120001A
17-Feb-2000 02:00:00,111.369492840499,NaN,120001A
17-Feb-2000 03:00:00,111.734197558097,NaN,120001A
17-Feb-2000 04:00:00,112.107135680714,NaN,120001A
17-Feb-2000 05:00:00,113.420643976755,NaN,120001A
17-Feb-2000 06:00:00,116.143821060766,NaN,120001A
17-Feb-2000 07:00:00,117.97633640326,NaN,120001A
17-Feb-2000 08:00:00,118.172818339972,NaN,120001A
17-Feb-2000 09:00:00,119.314233820283,NaN,120001A
17-Feb-2000 10:00:00,120.526621751713,NaN,120001A
17-Feb-2000 11:00:00,119.081331484968,NaN,120001A
17-Feb-2000 12:00:00,121.135491494723,NaN,120001A
17-Feb-2000 13:00:00,127.976033140334,NaN,120001A
17-Feb-2000 14:00:00,143.80764067014,NaN,120001A
17-Feb-2000 15:00:00,150.156359636194,NaN,120001A
17-Feb-2000 16:00:00,146.848123315293,NaN,120001A
17-Feb-2000 17:00:00,142.764159584327,NaN,120001A
17-Feb-2000 18:00:00,142.8748955703,NaN,120001A
17-Feb-2000 19:00:00,143.20596050631,NaN,120001A
17-Feb-2000 20:00:00,143.738887531298,NaN,120001A
17-Feb-2000 21:00:00,144.270876812115,NaN,120001A
17-Feb-2000 22:00:00,144.801787117547,NaN,120001A
17-Feb-2000 23:00:00,145.519115058974,NaN,120001A
18-Feb-2000 00:00:00,159.439506429418,NaN,120001A
18-Feb-2000 01:00:00,182.48208637385,NaN,120001A
18-Feb-2000 02:00:00,207.90654245527,NaN,120001A
18-Feb-2000 03:00:00,231.141609234889,196.098663063184,120001A
18-Feb-2000 04:00:00,240.68769041715,217.111382311311,120001A
18-Feb-2000 05:00:00,243.560001788578,226.676227600121,120001A
18-Feb-2000 06:00:00,250.838556549141,238.116996344277,120001A
18-Feb-2000 07:00:00,258.548167418668,249.175914096677,120001A
18-Feb-2000 08:00:00,269.90706462268,263.530120827976,120001A
18-Feb-2000 09:00:00,302.734927963988,300.127056361154,120001A
18-Feb-2000 10:00:00,321.746898898942,324.289769995331,120001A
18-Feb-2000 11:00:00,321.819324848251,328.504862736596,120001A
18-Feb-2000 12:00:00,318.085356618833,327.298530683959,120001A
18-Feb-2000 13:00:00,317.021032040841,327.799799491207,120001A
18-Feb-2000 14:00:00,319.149765526209,331.117849752827,120001A
18-Feb-2000 15:00:00,316.852098457343,329.568926473197,120001A
18-Feb-2000 16:00:00,313.747968397877,326.782311131877,120001A
18-Feb-2000 17:00:00,306.620409543239,319.432020404328,120001A
18-Feb-2000 18:00:00,298.634734832643,310.744985383486,120001A
18-Feb-2000 19:00:00,293.658724104289,304.876716746035,120001A
18-Feb-2000 20:00:00,283.530443476806,293.502019507841,120001A
18-Feb-2000 21:00:00,282.054102052237,290.849089694189,120001A
18-Feb-2000 22:00:00,278.977127192273,286.727300474899,120001A
18-Feb-2000 23:00:00,280.551223388604,287.523041664421,120001A
19-Feb-2000 00:00:00,285.659528700492,292.265913255471,120001A
19-Feb-2000 01:00:00,286.63373196887,293.237374783539,120001A
19-Feb-2000 02:00:00,287.301038770059,293.986875314798,120001A
19-Feb-2000 03:00:00,290.890601990266,297.776691743359,120001A
19-Feb-2000 04:00:00,289.258706695744,296.37963727125,120001A
19-Feb-2000 05:00:00,287.168874507404,294.191612092127,120001A
19-Feb-2000 06:00:00,283.735855375053,290.541380980596,120001A
19-Feb-2000 07:00:00,280.14636237816,286.542383280039,120001A
19-Feb-2000 08:00:00,285.505637625625,291.757641177068,120001A
19-Feb-2000 09:00:00,302.817219470725,309.884511317024,120001A
19-Feb-2000 10:00:00,299.572850850315,307.579402880196,120001A
19-Feb-2000 11:00:00,297.660094149849,306.145731423803,120001A
19-Feb-2000 12:00:00,300.540750393667,309.461744193679,120001A
19-Feb-2000 13:00:00,296.596709356789,305.734644785985,120001A
19-Feb-2000 14:00:00,294.835018932768,303.855122108908,120001A
19-Feb-2000 15:00:00,294.237941294446,303.102974465979,120001A
19-Feb-2000 16:00:00,293.640221419442,302.349980505031,120001A
19-Feb-2000 17:00:00,294.387348457442,303.068769711773,120001A
19-Feb-2000 18:00:00,293.334937184471,301.914905114472,120001A
19-Feb-2000 19:00:00,290.750086112104,299.157012692664,120001A
19-Feb-2000 20:00:00,297.140516761601,305.665690806879,120001A
19-Feb-2000 21:00:00,302.01323673254,311.023274390715,120001A
19-Feb-2000 22:00:00,309.356717534469,319.208969574936,120001A
19-Feb-2000 23:00:00,326.323064976855,337.873205906678,120001A
20-Feb-2000 00:00:00,336.173002187342,349.85422763083,120001A
20-Feb-2000 01:00:00,359.906314675118,376.770800048861,120001A
20-Feb-2000 02:00:00,390.579311012849,412.154031303308,120001A
20-Feb-2000 03:00:00,426.485673188212,454.390637193489,120001A
20-Feb-2000 04:00:00,460.289496675187,495.525887414836,120001A
20-Feb-2000 05:00:00,497.549282943294,541.155734051455,120001A
20-Feb-2000 06:00:00,531.771710352573,584.148705225053,120001A
20-Feb-2000 07:00:00,574.182679937975,636.607042764249,120001A
20-Feb-2000 08:00:00,615.902854944329,689.056708081526,120001A
20-Feb-2000 09:00:00,679.580644717446,766.813404412092,120001A
20-Feb-2000 10:00:00,705.049485514223,802.837217693161,120001A
20-Feb-2000 11:00:00,709.734856014962,814.409495435009,120001A
20-Feb-2000 12:00:00,709.480506284988,818.898444816067,120001A
20-Feb-2000 13:00:00,705.236954445013,817.591517817323,120001A
20-Feb-2000 14:00:00,679.365731936788,790.429839078583,120001A
20-Feb-2000 15:00:00,653.644695754777,761.861668845831,120001A
20-Feb-2000 16:00:00,638.771901276888,744.731106452184,120001A
20-Feb-2000 17:00:00,610.033189036551,711.236124978399,120001A
20-Feb-2000 18:00:00,585.488146019443,681.786425994367,120001A
20-Feb-2000 19:00:00,565.088337592083,656.627426870892,120001A
20-Feb-2000 20:00:00,550.452705915648,637.846406614471,120001A
20-Feb-2000 21:00:00,532.92860084778,615.789503469708,120001A
20-Feb-2000 22:00:00,528.877988586004,608.954115894749,120001A
20-Feb-2000 23:00:00,521.197893708664,598.344127538322,120001A
21-Feb-2000 00:00:00,512.213712410555,586.439920676341,120001A
21-Feb-2000 01:00:00,499.491086620422,570.407544912561,120001A
21-Feb-2000 02:00:00,503.607248021198,573.289367059243,120001A
21-Feb-2000 03:00:00,498.37680225113,566.187116984691,120001A
21-Feb-2000 04:00:00,503.948838259504,571.300230515605,120001A
21-Feb-2000 05:00:00,503.813232333213,570.466788247388,120001A
21-Feb-2000 06:00:00,515.276224352508,582.809448580436,120001A
21-Feb-2000 07:00:00,533.628658586042,603.425040007681,120001A
21-Feb-2000 08:00:00,561.193065928016,635.119401023921,120001A
21-Feb-2000 09:00:00,594.405013004162,674.171137638716,120001A
21-Feb-2000 10:00:00,648.806904140302,738.239408579303,120001A
21-Feb-2000 11:00:00,624.098237572358,714.264155485839,120001A
21-Feb-2000 12:00:00,642.250785206057,736.985613760607,120001A
21-Feb-2000 13:00:00,632.302352631184,727.911217048447,120001A
21-Feb-2000 14:00:00,623.523117228105,719.252333020807,120001A
21-Feb-2000 15:00:00,615.536222662207,710.859077556057,120001A
21-Feb-2000 16:00:00,620.359629248431,716.635802190959,120001A
21-Feb-2000 17:00:00,614.259388466616,710.130074402567,120001A
21-Feb-2000 18:00:00,612.729626771857,708.456515987066,120001A
21-Feb-2000 19:00:00,612.749440433713,708.482224464599,120001A
21-Feb-2000 20:00:00,612.769212582961,708.507885479006,120001A
21-Feb-2000 21:00:00,612.789025401223,708.533592821447,120001A
21-Feb-2000 22:00:00,613.443265186746,709.301383212649,120001A
21-Feb-2000 23:00:00,615.531323391504,711.775990715131,120001A
22-Feb-2000 00:00:00,616.563470019535,713.100916764334,120001A
22-Feb-2000 01:00:00,617.520411302842,714.343106074409,120001A
22-Feb-2000 02:00:00,618.47634720548,715.583944519,120001A
22-Feb-2000 03:00:00,619.431346953357,716.823512588159,120001A
22-Feb-2000 04:00:00,630.987928137291,730.098815874405,120001A
22-Feb-2000 05:00:00,655.314514362249,758.364999344635,120001A
22-Feb-2000 06:00:00,660.506276580575,765.511140121793,120001A
22-Feb-2000 07:00:00,660.676484810621,766.827310983642,120001A
22-Feb-2000 08:00:00,642.347895211814,746.735030259699,120001A
22-Feb-2000 09:00:00,641.509222915101,745.817578479394,120001A
22-Feb-2000 10:00:00,642.017728632135,746.419265648258,120001A
22-Feb-2000 11:00:00,644.045325880757,748.82550586075,120001A
22-Feb-2000 12:00:00,645.08440593426,750.154184783768,120001A
22-Feb-2000 13:00:00,646.005947479274,751.352988985213,120001A
22-Feb-2000 14:00:00,646.92663492853,752.550635010721,120001A
22-Feb-2000 15:00:00,647.846405797431,753.747051132384,120001A
22-Feb-2000 16:00:00,648.818956651649,755.005296089258,120001A
22-Feb-2000 17:00:00,652.986984689074,759.858209337967,120001A
22-Feb-2000 18:00:00,654.819522358346,762.156392068006,120001A
22-Feb-2000 19:00:00,656.208716763804,763.964501933249,120001A
22-Feb-2000 20:00:00,657.573705326521,765.744420213051,120001A
22-Feb-2000 21:00:00,654.209803965603,762.139399637131,120001A
22-Feb-2000 22:00:00,661.964976873612,771.086594431039,120001A
22-Feb-2000 23:00:00,684.678670910366,797.471562256168,120001A
23-Feb-2000 00:00:00,682.730040661893,796.246890943646,120001A
23-Feb-2000 01:00:00,694.946679696541,811.018479230962,120001A
23-Feb-2000 02:00:00,702.404172612957,820.575522770947,120001A
