time,Water_Temperature_degC,Conductivity_uS_per_cm,Pressure_dbar,Turbidity_FNU,Site_number
16-Feb-2000 00:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 01:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 02:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 03:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 04:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 05:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 06:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 07:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 08:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 09:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 10:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 11:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 12:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 13:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 14:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 15:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 16:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 17:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 18:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 19:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 20:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 21:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 22:00:00,15,19.6,0,NaN,120001A
16-Feb-2000 23:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 00:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 01:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 02:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 03:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 04:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 05:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 06:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 07:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 08:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 09:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 10:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 11:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 12:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 13:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 14:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 15:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 16:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 17:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 18:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 19:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 20:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 21:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 22:00:00,15,19.6,0,NaN,120001A
17-Feb-2000 23:00:00,15,19.6,0,NaN,120001A
18-Feb-2000 00:00:00,15,19.6,0,NaN,120001A
18-Feb-2000 01:00:00,15,19.6,0,NaN,120001A
18-Feb-2000 02:00:00,15,19.6,0.019492191,NaN,120001A
18-Feb-2000 03:00:00,15,19.6,0.141457952,187.411680160726,120001A
18-Feb-2000 04:00:00,15,19.6,0.260021876,218.078944797355,120001A
18-Feb-2000 05:00:00,15,19.6,0.355300163,219.4222035892,120001A
